上回书说到，
彼时的离月，海中有大魔侵扰，山间有恶吃盘踞。
燕王帝君召集众仙要还天下一个朗朗乾坤。
传说帝君在出征之时曾言道，
嗯
嗯
嗯
嗯哼
哈哈
嗯
此事群魔诸神并起。
嗯
我虽无意逐鹿，
却知苍生苦楚，
天动万象，
只愿荡涤四方，
获得服饰一语，
那是离月最初的契约。
而现在
最后的契约
终于也已拟定了。
wav\1.wav 上回书说到，
wav\2.wav 彼时的离月，海中有大魔侵扰，山间有恶吃盘踞。
wav\3.wav 燕王帝君召集众仙要还天下一个朗朗乾坤。
wav\4.wav 传说帝君在出征之时曾言道，
wav\5.wav 嗯
wav\6.wav 嗯
wav\7.wav 嗯
wav\8.wav 嗯哼
wav\9.wav 哈哈
wav\10.wav 嗯
wav\11.wav 此事群魔诸神并起。
wav\12.wav 嗯
wav\13.wav 我虽无意逐鹿，
wav\14.wav 却知苍生苦楚，
wav\15.wav 天动万象，
wav\16.wav 只愿荡涤四方，
wav\17.wav 获得服饰一语，
wav\18.wav 那是离月最初的契约。
wav\19.wav 而现在
wav\20.wav 最后的契约
wav\21.wav 终于也已拟定了。
